“You’re only given a little spark of madness. You mustn’t lose it.” – Robin Williams
“Imagination rules the world.” – Napoleon Bonaparte
“Creativity takes courage.” – Henri Matisse
“Creativity comes from a conflict of ideas.” – Donatella Versace
“A hunch is creativity trying to tell you something.” – Frank Capra
“Creativity is intelligence having fun.” – Albert Einstein
“Replace fear with curiosity.” – Steven Spielberg
“The worst enemy to creativity is self-doubt.” – Sylvia Plath
“Creativity is just connecting things.” – Steve Jobs
“Creativity is a wild mind and a disciplined eye.” – Dorothy Parker
“Creativity is the art of concealing your source.” Coco Chanel
"“Mystery is at the heart of creativity. That, and surprise.” – Julia Cameron"
“All creative people want to do the unexpected.” – Hedy Lamarr
